level,term,match_mode,note
high,씨발,contains,가장 대표적인 욕설
high,시발,contains,가장 대표적인 욕설
high,병신,contains,대표적인 직접 비하
high,븅신,contains,병신 변형
high,좆,contains,대표적인 성기 기반 욕설 어근
high,존나,contains,대표적인 강한 비속 부사
high,새끼,contains,대표적인 직접 비하
high,개새끼,contains,대표적인 직접 비하
high,씹새끼,contains,대표적인 직접 비하
high,지랄,contains,대표적인 공격적 욕설
high,염병,contains,대표적인 욕설
high,니애미,contains,대표적인 패드립
high,느금,contains,대표적인 패드립 축약
high,쌍년,contains,대표적인 여성 비하 욕설
high,썅,contains,대표적인 욕설 어근
high,씨벌,contains,씨발 변형
high,시벌,contains,시발 변형
high,씨부랄,contains,시발 계열 변형
high,시부랄,contains,시발 계열 변형
high,씨부럴,contains,시발 계열 변형
high,시부럴,contains,시발 계열 변형
high,씹년,contains,강한 직접 비하
high,씹놈,contains,강한 직접 비하
high,씹새,contains,씹새끼 계열 어근
high,개년,contains,직접 비하
high,개놈,contains,직접 비하
high,개자식,contains,직접 비하
high,호로,contains,직접 비하
high,호로새끼,contains,직접 비하
high,좆같,contains,좆같다/좆같네 계열
high,좆밥,contains,직접 비하
high,조까,contains,조까라 계열
high,엿먹,contains,엿먹어 계열
high,닥쳐,contains,공격적 명령형
high,꺼져,contains,공격적 명령형
high,미친,contains,광범위 비속 표현
high,또라이,contains,비하 표현
high,돌아이,contains,또라이 변형
high,등신,contains,비하 표현
high,머저리,contains,비하 표현
high,쪼다,contains,비하 표현
high,호구,contains,비하 표현
high,찌질,contains,비하 표현
high,찐따,contains,비하 표현
high,병신새,contains,병신새끼 계열 어근
high,븅신새,contains,븅신새끼 계열 어근
high,니애비,contains,패드립
high,느개비,contains,패드립
high,애미뒤,contains,패드립
high,애비없,contains,패드립
high,애미없,contains,패드립
high,씹창,contains,강한 욕설
high,씹팔,contains,시발 우회 표기
high,시팔,contains,시발 우회 표기
high,씨팔,contains,시발 우회 표기
high,썅년,contains,욕설 변형
high,썅놈,contains,욕설 변형
high,개같,contains,개같다 계열
high,븅딱,contains,비하 표현
high,쳐먹,contains,모욕적 표현
high,죽어버,contains,직접적 위해성/모욕 표현
high,자지,contains,성적 비하/외설
high,꼬추,contains,성적 비하/외설
high,후장,contains,성적 비하/외설
high,불알,contains,성적 비하/외설
high,젖탱,contains,성적 비하/외설
high,창녀,contains,강한 성적 비하
high,창년,contains,강한 성적 비하
high,보빨,contains,성적 비하
high,섹스,contains,성적 표현 강차단용
high,성교,contains,성적 표현 강차단용
high,자위,contains,성적 표현 강차단용
high,딸딸이,contains,성적 표현 강차단용
high,정액,contains,성적 표현 강차단용
high,사정,contains,성적 표현 강차단용
high,오르가즘,contains,성적 표현 강차단용
high,강간,contains,성폭력 표현
high,강제추행,contains,성폭력 표현
high,성폭행,contains,성폭력 표현
high,성희롱,contains,성적 위해 표현
high,매춘,contains,성매매 표현
high,원조교제,contains,성매매 표현
high,짱깨,contains,인종/국적 비하
high,짱꼴라,contains,인종/국적 비하
high,쪽바리,contains,국적 비하
high,한남,contains,성별 비하
high,한녀,contains,성별 비하
high,김치녀,contains,성별 비하
high,된장녀,contains,성별 비하
high,보슬,contains,성별 비하
high,보슬아치,contains,성별 비하
high,맘충,contains,집단 비하
high,급식충,contains,집단 비하
high,틀딱,contains,연령 비하
high,잼민,contains,연령 비하
high,장애새끼,contains,장애 비하
high,장애년,contains,장애 비하
high,장애놈,contains,장애 비하
high,게이새끼,contains,성소수자 비하
high,레즈년,contains,성소수자 비하
high,노예년,contains,강한 비하
high,걸창,contains,성적 비하
high,창놈,contains,성적 비하
high,개보지,contains,성적 비하
high,개자지,contains,성적 비하
high,좆집,contains,성적 비하
high,애자,contains,장애 비하
high,병자새끼,contains,질병/장애 비하
high,정신병자,contains,정신질환 비하
